title;name;location;requirements;language_req;sector;salary
Villamosenergetikai tervezõmérnök;MAVIR Zrt.;Országosan bárhonnan végezhetõ;Villamosmérnöki végzettségTervezõi jogosultság- Energiaellátási építmények tervezési szakterület, villamosenergetikai építmények tervezési részszakterület (EN-VI)Tervezõi jogosultság - tartószerkezeti tervezési szakterületen (T)Foglalkozás-egészségügyi alkalmasság magasban, feszültség közelében végzett munkára,Haladó számítástechnikai ismeretek és tapasztalat tervezõ szoftverek használatábanB kategóriás jogosítvány és legalább 1 éves gépjármûvezetõi gyakorlatGyors döntési képesség,Elemzõkészség, precizitás, pontosság,Jó kommunikációs készség,Igény és képesség az önálló munkavégzésre,;Nem igényel nyelvtudást;Mérnök;
Tartószerkezeti tervezõmérnök;MAVIR Zrt.;Országosan bárhonnan végezhetõ;Építõmérnöki végzettség,Tervezõi jogosultság - tartószerkezeti tervezési szakterületen (T)Foglalkozás-egészségügyi alkalmasság magasban, feszültség közelében végzett munkára,Haladó számítástechnikai ismeretek és tapasztalat tervezõ szoftverek használatábanB kategóriás jogosítvány és legalább 1 éves gépjármûvezetõi gyakorlatGyors döntési képesség,Elemzõkészség, precizitás, pontosság,Jó kommunikációs készség,Igény és képesség az önálló munkavégzésre,;Nem igényel nyelvtudást;Mérnök;
Villanyszerelõ/Villanyszerelõ segéd;KESELYVILL Kft.;4030 Debrecen;B kategóriás jogosítvány elõny!Amit keresünk: Szakmai gyakorlattal rendelkezõ megbízható személy!;Nem igényel nyelvtudást;Szakmunka;Nettó 300e - 350e Ft havi bér
Sous Chef - Konyhafõnök helyettes;BELLA LÁBASHÁZ Kft.;4025 Debrecen, Piac utca 39.;Szakirányú végzettségMegbízható, önmagára és munkájára is igényes személyiségMin. 3-5 év tapasztalatHigiéniai és élelmiszer-biztonsági elõírások ismereteIgényes, tiszta, rendezett munkavégzés (higiénikus konyha színvonalának megtartása)Határozott fellépésJó kommunikációs készség, jó problémamegoldó képesség;Angol alapfok;Szakmunka;
Termékmenedzser (nõgyógyászat);PentaCore Lab Kft.;Országosan bárhonnan végezhetõ;élettudományokból szerzett fõiskolai vagy egyetemi végzettség (orvos, biológus, biomérnök, gyógyszerész)2-3 éves termékmenedzseri tapasztalatSzóbeli és írásbeli tárgyalóképes angol nyelvtudásFelhasználói szintû számítógépes (MS Word, Excel, Outlook, Teams, PowerPoint stb.) ismeretekCRM rendszerek ismereteJó szervezõ és problémamegoldó készségMegbízhatóság, önálló, pontos munkavégzésA minõségbiztosítási rendszer követelményeinek betartása és alkalmazásaÚj ismeretek gyors elsajátítása, mindennapi alkalmazásaB” kategóriájú jogosítvány;Angol középfok;Egészségügy;
Customer Care Team Leader - German speaking;_VOIS;Anywhere nationwide;Ability to present value- added solutions to Customers High emotional intelligence and soft skills with the ability to manage employeesAchieves goals in a timely manner while discipline & strict compliance with policies & proceduresAbility to learn, seek knowledge and self-developmentExperience in a multi-system environmentGerman Level – C2 Speaking ProficiencyEnglish level – B1Willingness to work in shifts and weekends (no night shifts)People manager experienceMust have experience of 1- 2 years within a customer Care environment Strong verbal communication skillsHigh problem-solving skillsProficiency in using MS Office applications is a plusStrong reporting and analysis skillsDemonstrates a positive, enthusiastic, friendly attitude;Angol középfok;Ügyfélszolgálat;
Oracle Integration Cloud Developer;SUNRIDER HUNGARY Kft.;Anywhere nationwide;QUALIFICATIONS To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. Education and/or Experience BS/MS degree in Computer Science, Engineering or a related subjectMinimum 2/3 years of experience working with Oracle Integration Cloud and Oracle Cloud ERP applicationExperience of ERP or Cloud Data Conversion processes inbound and outbound interfaces, integration using Oracle Integration Cloud (OIC), Oracle SOA, BI Publisher, PaaS experienceExperience integrating Cloud Services (interfaces, conversions and creating applications using FBDI, ADFDI, Oracle ERP Cloud SOAP/REST API, and ADF)Hands on development experience with Oracle Database Cloud services (DBCS)Must have experience in understanding and managing the integration artefacts like WSDLs, XSD, XSLT etcMust have experience in understanding and using of OIC technology adapters, FTP, Database, ATP, ERP, HCM etcKnowledge in Oracle Cloud Infrastructure, security, authentication, backup, and recoveryKnowledge of application architecture, data conversion, interface design and relational databasesProficient in Oracle PL/SQL, Forms, Reports, XML Publisher, SQL Loader, Jdeveloper, Java, Unix scriptingExcellent knowledge of Relational Databases and SQLExperience in developing web applications using at least one popular web framework (JSF, Wicket, GWT, Spring MVC, Jersey)Experience in Oracle ADF/OAF framework developmentExperience with test-driven development;Angol középfok;IT Fejlesztés;
Java fejlesztõ;Profession Services;Országosan bárhonnan végezhetõ;felsõfokú végzettség informatikai szakon (legalább Bsc)tapasztalat az alábbi technológiákban:JavaSpring Bootkommunikációképes angol nyelvtudáskülföldi utazásra hajlandóság;Angol középfok;IT Fejlesztés;
Erõmûvi diszpécser; ;Debrecen, Gyõr;Középfokú végzettség, mûszaki vagy informatikai elõnyt jelentMagabiztos Excel tudásSikerorientált, innovatív, rugalmas attitûdÖnálló, felelõsségteljes munkavégzési képességKomplex gondolkodásmód, üzleti szemléletNappali és éjszakai mûszak vállalása 12 órás mûszakos munkarendben;Nem igényel nyelvtudást;Gyártás;
Recruiter; ;Országosan bárhonnan végezhetõ;Abgeschlossenes Studium Universität oder FachhochschuleDeutsch mindestens Level C1Englisch Level C1Kommunikativ und neugierigSorgfältige und gewissenhafte Arbeitsweise;Angol felsõfok;Adminisztráció;"Nettó 1 500 - 2 200 Euro havi bér


Jutalék - 5 000 Euro havi jutalék"
Öntözési szerviz szerelõ;MAGTÁR Termeltetõ Kereskedelmi Kft.;Rugalmas munkavégzési hely - Bács-Kiskun megye, Békés megye, Csongrád-Csanád megye, Hajdú-Bihar megye, Heves megye, Jász-Nagykun-Szolnok megye;legalább középfokú mûszaki végzettségmezõgazdasági gépszerelõi ismeretekelektronikai vagy villanyszerelõi alaptudásmobil munkavégzéshez alkalmazkodásszámítógépes ismeretek;Nem igényel nyelvtudást;Szakmunka;
Villamos vezetõ szerelõ KÜLFÖLDI MUNKAVÉGZÉSSEL;CALIPER Kft.;Országosan bárhonnan végezhetõ;villamos szakirányú végzettség és/vagy tapasztalatvezérléstechikában szerzett jártasság alapvetõ követelményönálló munkavégzésre való képességmagas felelõsségvállalási képességB kategóriás jogosítványangol nyelv társalgási szintû ismeretenémet nyelv ismerete elõny;Angol alapfok;Szakmunka;
Betanított munkás;GEOFIX 2000 MÉLYÉPÍTÕ Kft.;Országosan bárhonnan végezhetõ, Egyéb külföld;Kérlek legyél ápolt, igényes magadra és a munkádra is!Munkaruhát biztosítunk! A kérésünk , hogy minden nap tiszta ruhában rendezetten jelenj meg a munkaterületen!;Nem igényel nyelvtudást;Fizikai;Nettó 400e - 420e Ft havi bér
Országos területi képviselõ;MERITUM Kft.;Országosan bárhonnan végezhetõ;Korábbi értékesítési tapasztalatTörekvés az új piaci lehetõségek feltárására és kiaknázásáraNyílt, hiteles kommunikációMicrosoft Office alapvetõ ismereteJó kommunikációs és kapcsolatteremtõ képességProaktív, agilis hozzáállás;Angol középfok;Értékesítés;"Nettó 200e - 250e Ft havi bér


Jutalék - 300e Ft havi jutalék


 - 1,0M Ft éves "
Betanított munkalehetõség (ingyenes szállással); ;Országosan bárhonnan végezhetõ;8 általános végzettségMotivált, dolgozni akaró hozzáállás!Jó állóképesség és fizikai erõnlétPontos, precíz, ÖNÁLLÓ munkavégzés;Nem igényel nyelvtudást;Szakmunka;
Civil Engineer (m/f/d) for Solar farms;ABO Wind Hungary Kft.;Anywhere nationwide;Degree in civil engineering – ideally with a focus on infrastructure, cable works and/or construction operationsRelevant professional experience of several yearsPlanning skills for civil works are an assetAble to work both independently and in a team with an entrepreneurial mindsetHighly proficient in written and spoken Hungarian and English, additional languages are an assetProficient in using MS OfficeWilling to attend construction sites all over Hungary and to work in our office in Budapest;Angol középfok;Mérnök;
Könyvelõ;Profession Services;Debrecen;Magabiztos szakmai angol nyelvtudásod legyen szóban és írásban egyaránt.Minimum 1 éves szakmai tapasztalatod legyen könyvelõ pozícióban.Mérlegképes könyvelõi képesítéssel rendelkezz ésMs office felhasználói szintû ismereteid legyenek.;Angol középfok;Pénzügy;
Customer Service Representative;NI Hungary Kft.;Debrecen;Minimum középfokú képesítésTárgyalási szintû angol és legalább középfokú német nyelvtudás szóban és írásbanMS Excel és MS Word alapos ismereteKitûnõ kommunikációs készség mind szóban és írásbanNyitottság az új dolgokraÖnállóság;Angol felsõfok;Ügyfélszolgálat;
Minõségellenõr (Debrecen); ;4000 Debrecen;minimum 8 általános iskolai végzettségtöbb mûszakos munkarend vállalásarugalmasságszükséges a jó kézügyesség és megfigyelõképességprecíz, megbízható, felelõsségteljes munkavégzésfelhasználó színtû EXCEL tudás mûszaki beállítottság;Nem igényel nyelvtudást;Fizikai;
Eladó - árufeltöltõ;Forrás Áruház Kft.;Rugalmas munkavégzési hely - Borsod-Abaúj-Zemplén megye, Hajdú-Bihar megye, Heves megye;Vevõ-centrikusság és elkötelezettségLelkesedés, dinamizmusÖnállóság, felelõsségtudat és becsületes munkavégzés;Nem igényel nyelvtudást;Szakmunka;
Szakács;Tiszai Öreghalász Kft;Országosan bárhonnan végezhetõ;GyorsaságPrecizitásPontos munkavégzésMunkájára igényes;Nem igényel nyelvtudást;Szakmunka;Nettó 500e Ft havi bér
Takarmánykeverõs üzemi munkatárs;Hajdúböszörményi Mezõgazdasági Zártkörûen Mûködõ Részvénytársaság;4220 Hajdúböszörmény;számítógépes alapismereteklegalább szakmunkás középfokú képzettségrugalmas, önálló munkavégzés;Nem igényel nyelvtudást;Fizikai;
Cégvezetõ;DEBRECENI MECHANIKAI MÛVEK Kft.;4030 Debrecen, Híd utca 4.;Gépészmérnöki végzettség és sokoldalú gépipari ismeret.5-10 év operatív vezetõi tapasztalat.MS Office programok magas szintû és mûszaki tervezõ programok megfelelõ szintû ismerete.Angol vagy német nyelv tárgyalási szintû ismerete szóban és írásban.;Angol középfok;Cégvezetés;
Csoprtvezetõ;Community Business Kft;Országosan bárhonnan végezhetõ;Szakmai gyakorlat.;Nem igényel nyelvtudást;Értékesítés;
Ingatlanértékesítõ;Városi Ingatlaniroda Kft.;Országosan bárhonnan végezhetõ;érettségi bizonyítványvállalkozói szemléletmódönálló munkavégzéskereskedelmi tapasztalatügyfélközpontú gondolkodáspozitív, megoldást keresõ személyiségápolt, üzleties megjelenésotthoni internetkapcsolatlaptop, mobiltelefon;Nem igényel nyelvtudást;Értékesítés;"Nettó 500e - 2,0M Ft havi bér


 - 100e Ft havi "
Kereskedelmi képviselõ: Budapest/Kelet-Magyarország/Észak-kelet Magyarország;WELL DONE St. Moritz Kft.;Rugalmas munkavégzési hely - Budapest, Bács-Kiskun megye, Békés megye, Borsod-Abaúj-Zemplén megye, Csongrád-Csanád megye, Hajdú-Bihar megye, Heves megye, Jász-Nagykun-Szolnok megye, Nógrád megye, Pest megye, Szabolcs-Szatmár-Bereg megye;Igazolható szakmai tapasztalat FMCG, fogyasztási cikk területen eltöltött minimum 5 évVevõ menedzsment tapasztalatKereskedelmi kapcsolatrendszer az adott területenDinamikus, kreatív, kezdeményezõ személyiségLegalább középfokú végzettségMegbízhatóság, önállóság, proaktív személyiségKiváló kommunikációs készség, szóban és írásbanMinimum 5 éves jogosítvány és vezetési tapasztalatOtthoni internet hozzáférésB kategóriás jogosítvány;Nem igényel nyelvtudást;Értékesítés;
Építésvezetõ;BEE HOME CONSTRUCT ZRT;Országosan bárhonnan végezhetõ;Amit elvárunk:tapasztalat mûszaki irányítás, helyszíni mûvezetés terénminimum középfokú, szakirányú végzettségszakmai tapasztalatjó szervezõkészségemberközpontúságrugalmas hozzáálláselkötelezettségB kategóriás jogosítványmobilitás;Angol alapfok;Mérnök;
Mûszaki tanácsadó / Területi képviselõ (Észak-kelet Magyarország);Ravago Building Solutions Hungary Kft.;Rugalmas munkavégzési hely - Budapest, Borsod-Abaúj-Zemplén megye, Hajdú-Bihar megye, Heves megye, Nógrád megye, Pest megye, Szabolcs-Szatmár-Bereg megye;építõipari szegmensben szerzett 3-5 év tapasztalat, piacismeretfelsõfokú építõipari végzettségjó kommunikációs és prezentációs készségmagabiztos fellépés, meggyõzõképesség, diplomáciai érzékeredményorientált szemléletmódmobilitás, rugalmasságközépszintû angol nyelvtudásmagasszintû számítógépes ismeretek (Word, Excel, PowerPoint, Outlook)„B” kategóriás vezetõi engedély;Angol középfok;Értékesítés;
Mûszaki értékesítõ - napelem értékesítõ;A1 Solar Kft;Otthonról végezhetõ;Minimum 2 év értékesítési tapasztalatMûszaki érdeklõdésEgyértelmû, határozott kommunikáció szóban és írásbanProaktivitásJogosítvány és autó;Nem igényel nyelvtudást;Értékesítés;
German / Swedish / French / Italian / Russian Speaking Annotator;Tech Mahindra Limited Magyarországi Fióktelepe;Home Office;Native, C1 or Strong B2 level in Italian or German or Swedish or French or Russian in addition to excellent EnglishThe Bachelor's degree in any stream, or related disciplineExcellent communication and Proficiency in Grammar Problem-solving and logical reasoning skillsComfortable working in a fast paced, highly collaborative, and dynamic work environmentAbility to handle pressure and a natural go getterHome Office available!;Angol középfok;Adminisztráció;
